日期,情绪总和,情绪计数
2024-01-06,1.3053526067097363,2
2024-01-07,0.9999508313357676,1
2024-01-08,4.333083926383579,5
2024-01-09,0.7244207546133138,1
2024-01-10,2.991998339725885,3
2024-01-13,1.1023522128727443,2
2024-01-14,2.6430578714070316,3
2024-01-15,1.8410717485756365,3
2024-01-17,0.1047455503601696,1
2024-01-18,1.8711885407485909,2
2024-01-19,0.9763289659417688,1
2024-01-20,2.923511687067798,4
2024-01-21,4.364845370036156,5
2024-01-22,1.439359206391765,2
2024-01-23,0.988061628270916,1
2024-01-25,0.9406021484277644,1
2024-01-26,1.9901226626099695,2
2024-01-28,0.9990924620918727,1
2024-01-29,0.9888749810549056,1
2024-01-30,4.744793906062221,5
2024-01-31,0.998655489182173,1
2024-02-01,1.995860448132193,2
2024-02-02,0.0761073628093964,1
2024-02-03,3.807426167819531,4
2024-02-04,1.97813727887465,2
2024-02-05,1.987007477341736,2
2024-02-06,1.5922513065005446,2
2024-02-07,2.9901398340029157,3
2024-02-08,1.458952844544961,2
2024-02-09,1.9848019354618187,2
2024-02-10,0.9994929828074596,1
2024-02-11,0.9995998497102312,1
2024-02-12,0.7138715566862893,1
2024-02-13,1.9993099668541667,2
2024-02-15,1.7005260972386025,3
2024-02-18,6.639519982075929,7
2024-02-19,4.971462405492568,5
2024-02-20,1.7619143484044844,2
2024-02-22,1.998034388415526,2
2024-02-23,0.86064315576695,1
2024-02-24,0.6159766178335182,2
2024-02-25,1.5971231430588242,2
2024-02-26,3.643302980432668,4
2024-02-27,0.9998686558709456,1
2024-02-28,1.0652725382364792,2
2024-02-29,1.190747232496437,2
2024-03-01,1.7291827632639754,2
2024-03-02,4.8372947768160985,5
2024-03-03,2.6282636739005394,3
2024-03-04,2.905884571375047,3
2024-03-05,0.1176623193404657,1
2024-03-06,0.997754692436234,1
2024-03-08,0.9996862432535062,1
2024-03-09,4.43777596478055,5
2024-03-10,1.9713369396309508,2
2024-03-11,3.763529717077585,4
2024-03-12,0.885295984028471,1
2024-03-13,0.9976212307120244,1
2024-03-15,1.3402431667536123,2
2024-03-16,1.9782187719576076,2
2024-03-17,4.975662985912762,5
2024-03-18,2.771215322745838,3
2024-03-19,0.0270660815793248,1
2024-03-20,1.8384683344933743,2
2024-03-21,1.9993469889172957,2
2024-03-22,0.9992293263094352,1
2024-03-23,2.414115471641298,3
2024-03-24,0.9556736973504094,1
2024-03-28,0.9843744180314472,1
2024-03-30,2.587462242836964,3
2024-03-31,2.4748000397540846,3
2024-04-01,3.978414127725637,4
2024-04-02,0.9996801571066986,1
2024-04-05,1.8874511298098868,2
2024-04-07,0.9998761615506492,1
2024-04-08,1.9979342205353747,2
2024-04-09,0.9455417064536455,1
2024-04-11,0.5506773176189499,1
2024-04-13,0.9997354863065764,1
2024-04-14,0.7853337722185317,1
2024-04-15,3.2466625823408855,4
2024-04-16,0.9982283193623892,1
2024-04-19,0.9998230358887672,1
2024-04-20,4.357686603445949,5
2024-04-21,3.7173188285767833,4
2024-04-22,1.0501928602371842,2
2024-04-23,0.0738143513195981,2
2024-04-24,0.9998530637718523,1
2024-04-27,1.4299345805909964,2
2024-04-28,0.3917741167972551,1
2024-04-29,0.0365045070489294,1
2024-05-01,0.9999887921839156,1
2024-05-02,0.9711977014488716,1
2024-05-06,2.450558737141182,3
2024-05-07,2.9697960664809697,3
2024-05-08,0.9709089948539076,1
2024-05-11,0.0680099709716983,1
2024-05-12,1.7614463248528645,2
2024-05-13,3.27539350481152,4
2024-05-15,0.9983268037585978,1
2024-05-16,0.781071685767886,1
2024-05-17,0.8147845054701156,1
2024-05-18,3.730177117112988,5
2024-05-19,0.9861987125006308,1
2024-05-20,1.9275156919003176,2
2024-05-21,0.9911780947548474,1
2024-05-22,0.9844319911016848,1
2024-05-25,0.9996160960437186,1
2024-05-26,0.9999956755373864,1
2024-05-27,1.7980440629582308,2
2024-05-28,0.9721592583264228,1
2024-06-01,4.462899428377867,5
2024-06-03,1.908164291568959,2
2024-06-05,5.349369515029937,6
2024-06-06,0.999848900894618,1
2024-06-07,0.977260137201904,1
2024-06-08,4.232712191519843,5
2024-06-09,0.9873533751256288,1
2024-06-10,3.488990875193359,4
2024-06-11,1.3625152696759524,3
2024-06-12,0.999608707493786,1
2024-06-14,0.886619047157434,1
2024-06-15,1.290777991081673,2
2024-06-16,0.9997006118130836,1
2024-06-17,2.8773638121886527,3
2024-06-18,1.7267476997982962,2
2024-06-21,0.8464627267768733,1
2024-06-22,2.260906895184081,3
2024-06-25,0.999940176869752,1
2024-06-26,0.1367288643002414,1
2024-06-29,0.8636803326385165,1
2024-06-30,0.9940840677276196,1
2024-07-01,2.7769768807520343,3
2024-07-02,1.9993609741756877,2
2024-07-04,0.999992290006744,1
2024-07-05,0.7382775704041841,2
2024-07-06,2.462409952244215,4
2024-07-08,1.8837541218267568,2
2024-07-09,0.917206766377551,1
2024-07-10,1.9990226551867725,2
2024-07-11,0.9963266421400928,1
2024-07-13,2.5578184306851917,4
2024-07-14,0.8916922981197004,1
2024-07-15,3.871369204465367,4
2024-07-17,0.9456213184022008,1
2024-07-20,4.551379846956051,5
2024-07-21,0.9050078394495408,1
2024-07-22,2.989354685101132,3
2024-07-23,0.5160054315196598,1
2024-07-24,1.9877454619081671,2
2024-07-26,0.9957378996824348,1
2024-07-27,0.8548848988010869,1
2024-07-31,1.997724492855917,2
2024-08-01,1.2510517136928183,2
2024-08-02,1.8535503589829037,2
2024-08-03,5.31115798671536,6
2024-08-04,0.9903027794171284,1
