book_name,author,average_rating,publish_date,publish_name,price,store_number,book_photo,detail
你一生的故事,[美] 特德·姜,8.7,2015-5,译林出版社,36.00元,10,s28033064.jpg,"一瞥之下，过去与未来轰轰然同时并至，
我的意识成为长达半个世纪的灰烬，时间未至已成灰。
五十年诸般纷纭并发眼底，我的余生尽在其中。
还有，你的一生。
《你一... "
呼吸,[美] 特德·姜,8.6,2019-12,译林出版社,42.00元,10,s33519539.jpg,"★ 《降临》原著小说作者，美国华裔科幻奇才特德·姜新结集。
★ 9个短篇，9集《黑镜》，融科幻的诗意与哲学的浪漫于一体：我所有的欲望和沉思，都是这个宇宙缓缓... "
黑暗的左手,[美] 厄休拉·勒古恩,8.3,2024-9-1,北京联合出版公司,49.90元,10,s34946331.jpg,"在终年严寒的冬星上，生活着一群雌雄同体的人。他们的性别是流动的，在每月的特殊时期，会分化成男人或女人。
一名地球男性，带着秘密任务来到冬星，却遭遇了前所未有... "
盲视,[加] 彼得·沃茨,8.5,2021-7,理想国 ｜ 北京日报出版社,62.00元,10,s33927365.jpg,★人类最终的进化方向到底是什么？如果唯有摒弃自我意识才能在茫茫星海中生存下去，这是进化还是灭绝？雨果奖得主彼得·沃茨代表长篇，近十年硬科幻领域集大成之作，获... 
你一生的故事,[美] 特德·姜,8.7,2019-12,译林出版社,42.00元,10,s33516836.jpg,"★ 科幻大片《降临》原著小说。
★ 美国华裔科幻奇才特德·姜代表作，得遍世界大奖的开脑洞之作。
★ 始于科学内核，收于人文关怀：如果注定失去，你会害怕拥有吗... "
未来学大会,[波] 斯坦尼斯瓦夫·莱姆,9.0,2021-8,译林出版社,42.00元,10,s33925034.jpg,"👾如果可以选择，是直面悲惨的现实，还是用致幻剂营造虚假幻象？
👾波兰科幻大师莱姆代表作之一，以科学幽默和辛辣讽刺勾画人类未来。
【编辑推荐】
🌟波兰科幻大师... "
银河系搭车客指南,[英] 道格拉斯·亚当斯,8.7,2011-7,上海译文出版社,26.00元,10,s6384969.jpg,"突如其来的寂静笼罩了地球。这事实上比噪音更加可怕。有一会儿，什么也没有发生。
巨大的飞船一动不动地挂在空中，覆盖了地球上的每个国家。
在黯然退场之前，地球首... "
美丽新世界,【英】奥尔德斯·赫胥黎,9.1,2017-6,上海译文出版社,45.00元,10,s29477615.jpg,出版于一九三二年的《美丽新世界》是奥尔德斯•赫胥黎最杰出的代表作，是二十世纪最著名的反乌托邦文学经典之一，与奥威尔的《一九八四》、扎米亚京的《我们》并称为“... 
莫比乌斯时空,顾适,8.0,2020-3,新星出版社,48.00,10,s33555052.jpg,"银河奖/华语科幻星云奖得主 顾适 首部科幻短篇集
12 篇人气佳作 + 3 篇神秘新作 华丽集结！
刘慈欣 刘宇昆 丁墨 热诚推荐！
记忆能像货币一样交易？... "
卞和与玉,东心爰,8.4,2024-4,四川大学出版社,42.00,10,s34825019.jpg,"当人类在数字世界中走向分裂
我们是灭绝在狭小的茧房中
还是联手撕开一条未来
首届元宇宙征文大赛“百万大奖”获奖作品
——————————————————
故... "
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,9.1,2015-4,广西师范大学出版社,36.00元,10,s28050760.jpg,声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后... 
2001：太空漫游,[英] 阿瑟·克拉克,9.3,2019-4-10,上海文艺出版社,62.00元,10,s32330891.jpg,"◆《太空漫游》拓展了人类理解宇宙的宽度、广度和深度。 从普通读者到刘慈欣到NASA科学家，都从中获得启迪。
◆刘慈欣：“我所有作品都是对《太空漫游》的拙劣模... "
我们生活在南京,天瑞说符,8.0,2022-12,中信出版社,99.80元,10,s34387186.jpg,"三届中国科幻银河奖得主、95后科幻作家荣誉之作
刘慈欣、马伯庸、吴岩、姚海军鼎力推荐！
叹为观止的故事展现，一部看得懂的硬核科幻小说。
抵抗异变的不是决绝和... "
失去的过去与未来的犯罪,[日] 小林泰三,7.7,2024-3,湖南文艺出版社,49.80,10,s34767874.jpg,"欢迎来到一个充满神秘感和人类未来可能性的新世界。
某年某月某日，女高中生梨乃发现自己的记忆变得断断续续。同样的现象席卷全世界，人类陷入恐慌……几十年过去，失... "
模糊边缘,[澳] 乔纳森·斯特拉罕 编,7.2,2024-12,新星出版社,88.00元,10,s35019274.jpg,"◎雨果奖、轨迹奖最佳编辑乔纳森・斯特拉罕精选短篇集；
囊括特德·姜、格雷格·伊根、韩松等二十八位科幻作家和新星的作品，重新审视我们的文化与未来。
◎未来的边... "
神经漫游者,[美] 威廉·吉布森,8.1,2013-6,江苏凤凰文艺出版社,32.00元,10,s26817921.jpg,"“1923年以来100本最佳英文小说”之一
“赛博朋克”圣经 • 史无前例的得奖记录：囊括雨果奖、星云奖、菲利普•迪克奖
这就是催生了《黑客帝国》的那部小说... "
克拉拉与太阳,[英] 石黑一雄,8.2,2021-3,上海译文出版社,68.00,10,s33821754.jpg,"“太阳总有办法照到我们，不管我们在哪里。”
~
克拉拉是一个专为陪伴儿童而设计的太阳能人工智能机器人（AF），具有极高的观察、推理与共情能力。她坐在商店展示... "
沙丘,[美] 弗兰克·赫伯特,7.9,2017-1,江苏凤凰文艺出版社,68.00元,10,s29245314.jpg,"人类每次正视自己的渺小，都是自身的一次巨大进步。
——————————
哥白尼提出了“日心说”，我们才知道这个世界并不是宇宙的中心。
哈勃用望远镜揭开了河外... "
跑去她的世界,夏桑,7.0,2024-8,新星出版社,59,10,s34944821.jpg,"★他仅存的希望，就是每当跑步时，能够看见亡妻。
★抑郁患者 ✖ 受难机器 ✖ 时光药丸
★一场马拉松引发的都市幻想，一名内耗者的自毁和自救。
★每个困在痛苦... "
银河帝国1：基地,[美] 艾萨克·阿西莫夫,8.8,2015-10,江苏凤凰文艺出版社,45.00元,10,s34391220.jpg,"人类蜗居在银河系的一个小角落——太阳系，在围绕太阳旋转的第三颗 行星上，生 活了十多万年之久。
人类在这个小小的行星（他们称之为“地球”）上，建立了两百多个... "
回忆爱玛侬,(日)梶尾真治 著、(日)鹤田谦二 绘,7.8,2024-8,中信出版社,42.8元,10,s34925368.jpg,"本作品是日本知名科幻小说作家梶尾真治与漫画家鹤田谦二携手创作的日本漫画作品，受众为25岁以上的成年大众读者。
故事讲述在一次失意的旅行中，“我”在船上邂逅了... "
地球尽头的温室,金草叶,8.2,2023-5-15,花城出版社,49.00元,10,s34500021.jpg,"由于气候恶化，特别天气频发，地球进入“落尘时代”，熟悉的动植物一一灭绝。
人类的体质也发生改变。一类对粉尘产生抗体，遭到抓捕和买卖。另一类成为半人半机器，被... "
自然故事,[意大利] 普里莫·莱维,8.8,2024-10-1,译林出版社,59.00元,10,s34961346.jpg,《自然故事》第一次出版时，普里莫·莱维用了笔名“达米阿诺·马拉拜拉”，他用15个妙趣横生的故事，将我们带入一个由技术进步狂潮推动的未来：从战场回归小镇的蒙德... 
火星救援,[美] 安迪·威尔,8.9,2015-10,译林出版社,38.00,10,s28284337.jpg,"六天前，马克·沃特尼成为了第一批行走在火星上的人。如今，他也将成为第一个葬身火星的人。
一场突如其来的风暴让阿瑞斯三船员被迫放弃任务。撤离过程中，沃特尼遭遇... "
来自新世界 （上下）,[日] 贵志祐介,9.0,2014-1,上海译文出版社,88.00元,10,s27251177.jpg,"“离开小町回头去看，有一件事我看得清清楚楚——我们的小町，很扭曲。
为了维持小町的安定和秩序，不断杀害孩子们的小町，还能称之为人类的社会吗？人类从涂满鲜血的... "
祈祷之海,[澳] 格雷格·伊根,8.7,2023-1,新星出版社,58,10,s34344109.jpg,"★极致的唯物主义美学，绝对的认知快感！
★当代科幻难以逾越的两座高峰：一座是特德·姜，另一座是格雷格·伊根！
★一套书囊括72个世界级科幻大奖及提名。
★收... "
银河系漫游指南,[英] 道格拉斯·亚当斯,8.8,2005-6,四川科学技术出版社,16.00元,10,s3696740.jpg,地球被毁灭了，因为要在它所在的地方修建一条超空间快速通道。主人公阿瑟·邓特活下来了，因为他有一位名叫福特·长官的朋友。这位朋友表面上是个找不着工作的演员，其... 
爱 时光和大怪兽,阿缺,8.6,2024-3,四川科学技术出版社,58.00元,10,s34804021.jpg,从藏有时空之秘的乡村，路过秘密进行可怖实验的海边小镇，停驻在灯火灿如银河的城市，最后，走向被天灾威胁而即将毁灭的世界。四个故事便如这样一段漫长的跋涉，场景迥... 
揉眼睛的女人,[日] 小林泰三,7.9,2024-5,四川科学技术出版社,48.00元,10,s34888836.jpg,"用科学书写恐怖怪谈  以戏谑侦破悬疑案件
令人大跌眼镜的跨种族之恋  离谱到没边儿的预知未来法
日本恐怖小说大赏・日本科幻大赏・星云赏  得主
写作怪才小林... "
少数派报告,[美] 菲利普·迪克,8.8,2017-10,译林出版社,42.00,10,s29563532.jpg,“科幻鬼才”菲利普•迪克成长于西方科技文明创造出的崭新辉煌的时代。彼时，人类进入了太空，登上了月球，成功制造出第一台工业用机器人……科技的蓬勃发展也催生出主... 
人生复本,[美国] 布莱克·克劳奇,7.8,2017-11,中信出版社,45.00元,10,s29608606.jpg,"这是一个关于平行宇宙的故事。
做出不同的选择，人生会不会变得不一样？
如果再给自己一次选择的机会，你会抛弃现在的生活嘛？
“你过得开心吗？”
这是杰森在失去... "
机器人短篇全集,[美] 艾萨克·阿西莫夫,9.2,2014-1-1,江苏文艺出版社,46.00元,10,s27218675.jpg,"机器人学三大法则：
机器人不得伤害人类，或因不作为而使人类受到伤害。
除非违背第一法则，机器人必须服从人类的命令。
在不违背第一及第二法则的情况下，机器人必... "
银河帝国：基地七部曲,[美] 艾萨克·阿西莫夫,9.5,2015-10-1,江苏凤凰文艺出版社,328.00元,10,s28284246.jpg,"人类蜗居在银河系的一个小角落——太阳系，在围绕太阳旋转的第三颗 行星上，生 活了十多万年之久。
人类在这个小小的行星（他们称之为“地球”）上，建立了两百多个... "
星之继承者,[英] 詹姆斯·P.霍根,8.8,2021-4,新星出版社,58.00元,10,s33771274.jpg,2027年，月球上发现一具五万年前的人类尸体。如果地球存在高科技史前文明，不可能没有任何遗迹；但若说他来自外星，则又违背进化论。同时，科研发现月球正面与背面... 
