电影中文名,电影英文名,详情页链接,导演,主演,上映年份,地区,类型,评分,评分人数,简介
头号玩家,Ready Player One,https://movie.douban.com/subject/4920389/,史蒂文·斯皮尔伯格 Steven Spielberg   ,泰伊·谢里丹 Tye Sheri...,2018,美国,动作 科幻 冒险,8.6,1468345人评价,写给影迷，动漫迷和游戏迷的一封情书。
玛丽和马克思,Mary and Max,https://movie.douban.com/subject/3072124/,亚当·艾略特 Adam Elliot   ,托妮·科莱特 Toni Collette / 菲利...,2009,澳大利亚 美国,剧情 喜剧 动画,9,446422人评价,你是我最好的朋友，你是我唯一的朋友 。
模仿游戏,The Imitation Game,https://movie.douban.com/subject/10463953/,莫滕·泰杜姆 Morten Tyldum   ,本尼迪克特·康伯巴奇 Benedict C...,2014,英国 美国,剧情 传记 战争 同性,8.8,700800人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
大鱼,Big Fish,https://movie.douban.com/subject/1291545/,蒂姆·波顿 Tim Burton   ,伊万·麦克格雷格 Ewan McGregor / 阿...,2003,美国,剧情 爱情 奇幻 冒险,8.8,608222人评价,暂无
七武士,七人の侍,https://movie.douban.com/subject/1295399/,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 志村乔 ...,1954,日本,动作 冒险 剧情,9.3,221504人评价,暂无
惊魂记,Psycho,https://movie.douban.com/subject/1293181/,阿尔弗雷德·希区柯克 Alfred Hitchcock   ,安东尼·博金斯 Antho...,1960,美国,悬疑 惊悚 恐怖,9,337138人评价,暂无
射雕英雄传之东成西就,射鵰英雄傳之東成西就,https://movie.douban.com/subject/1316510/,刘镇伟 Jeffrey Lau   ,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,694900人评价,暂无
我是山姆,I Am Sam,https://movie.douban.com/subject/1306861/,杰茜·尼尔森 Jessie Nelson   ,Sean Penn / Dakota Fanning / Mi...,2001,美国,剧情 家庭,9,364618人评价,暂无
血战钢锯岭,Hacksaw Ridge,https://movie.douban.com/subject/26325320/,梅尔·吉布森 Mel Gibson   ,安德鲁·加菲尔德 Andrew Garfield /...,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,835194人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
你的名字。,君の名は。,https://movie.douban.com/subject/26683290/,新海诚 Makoto Shinkai   ,神木隆之介 Ryûnosuke Kamiki / 上...,2016,日本,剧情 爱情 动画,8.5,1540552人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
阳光姐妹淘,써니,https://movie.douban.com/subject/4917726/,姜炯哲 Hyeong-Cheol Kang   ,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011,韩国,剧情 喜剧,8.8,621503人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。
恐怖直播,더 테러 라이브,https://movie.douban.com/subject/21360417/,金秉祐 Byeong-woo Kim   ,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013,韩国,剧情 犯罪 悬疑,8.7,706260人评价,恐怖分子的“秋菊打官司”。
黑客帝国3：矩阵革命,The Matrix Revolutions,https://movie.douban.com/subject/1302467/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,未知,2003,美国,动作 科幻,8.8,481387人评价,暂无
背靠背，脸对脸,"背对背，脸对脸  /  Back to Back, Face to Face",https://movie.douban.com/subject/1307856/,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   ,牛振华 Zhenhua N...,1994,中国大陆 中国香港,剧情,9.5,165208人评价,暂无
电锯惊魂,Saw,https://movie.douban.com/subject/1417598/,詹姆斯·温 James Wan   ,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004,美国,悬疑 惊悚 恐怖,8.7,587583人评价,真相就在眼前。
三块广告牌,"Three Billboards Outside Ebbing, Missouri",https://movie.douban.com/subject/26611804/,马丁·麦克唐纳 Martin McDonagh   ,弗兰西斯·麦克多蒙德 France...,2017,英国 美国,剧情 犯罪,8.7,889947人评价,怼天怼地，你走后，她与世界为敌。
心灵奇旅,Soul,https://movie.douban.com/subject/24733428/,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   ,杰米·...,2020,美国,动画 奇幻 音乐,8.7,1090584人评价,暂无
小丑,Joker,https://movie.douban.com/subject/27119724/,托德·菲利普斯 Todd Phillips   ,杰昆·菲尼克斯 Joaquin Phoeni...,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,1096078人评价,暂无
达拉斯买家俱乐部,Dallas Buyers Club,https://movie.douban.com/subject/1793929/,让-马克·瓦雷 Jean-Marc Vallée   ,马修·麦康纳 Matthew McCon...,2013,美国,剧情 传记 同性,8.8,489606人评价,Jared Leto的腿比女人还美！
谍影重重3,The Bourne Ultimatum,https://movie.douban.com/subject/1578507/,保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2007,美国 德国 法国 英国,动作 悬疑 惊悚,8.9,453167人评价,像吃了苏打饼一样干脆的电影。
疯狂原始人,The Croods,https://movie.douban.com/subject/1907966/,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,未知,2013,美国,喜剧 动画 冒险,8.7,896145人评价,老少皆宜，这就是好莱坞动画的魅力。
绿里奇迹,The Green Mile,https://movie.douban.com/subject/1300374/,弗兰克·德拉邦特 Frank Darabont   ,汤姆·汉克斯 Tom Hanks / ...,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,371842人评价,暂无
无间道2,無間道II,https://movie.douban.com/subject/1307106/,刘伟强 Andrew Lau / 麦兆辉 Alan Mak   ,陈冠希 Edison Chen / ...,2003,中国香港,剧情 犯罪 惊悚,8.8,540979人评价,暂无
爱在午夜降临前,Before Midnight,https://movie.douban.com/subject/10808442/,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2013,美国 希腊,剧情 爱情,8.9,450774人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
海街日记,海街diary,https://movie.douban.com/subject/25895901/,是枝裕和 Hirokazu Koreeda   ,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015,日本,剧情 家庭,8.8,499144人评价,是枝裕和的家庭习作。
上帝之城,Cidade de Deus,https://movie.douban.com/subject/1292208/,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,未知,2002,巴西 法国,犯罪 剧情,9,323520人评价,暂无
英雄本色,A Better Tomorrow  /  Gangland Boss,https://movie.douban.com/subject/1297574/,吴宇森 John Woo   ,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986,中国香港,剧情 动作 犯罪,8.6,587250人评价,暂无
风之谷,風の谷のナウシカ,https://movie.douban.com/subject/1291585/,宫崎骏 Hayao Miyazaki   ,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984,日本,动画 奇幻 冒险,8.9,381533人评价,暂无
疯狂的石头,Crazy Stone,https://movie.douban.com/subject/1862151/,宁浩 Hao Ning   ,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006,中国大陆 中国香港,喜剧 犯罪,8.6,894528人评价,中国版《两杆大烟枪》。
心迷宫,殡棺  /  The Coffin in the Mountain,https://movie.douban.com/subject/25917973/,忻钰坤 Yukun Xin   ,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014,中国大陆,剧情 犯罪 悬疑,8.7,588678人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
雨中曲,Singin' in the Rain,https://movie.douban.com/subject/1293460/,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   ,吉恩·...,1952,美国,喜剧 歌舞 爱情,9.1,255129人评价,暂无
2001太空漫游,2001: A Space Odyssey,https://movie.douban.com/subject/1292226/,斯坦利·库布里克 Stanley Kubrick   ,凯尔·杜拉 Keir Dullea / ...,1968,英国 美国,科幻 惊悚 冒险,8.9,374266人评价,暂无
纵横四海,緃横四海,https://movie.douban.com/subject/1295409/,吴宇森 John Woo   ,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,460486人评价,暂无
记忆碎片,Memento,https://movie.douban.com/subject/1304447/,克里斯托弗·诺兰 Christopher Nolan   ,盖·皮尔斯 Guy Pearce /...,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,648939人评价,暂无
卢旺达饭店,Hotel Rwanda,https://movie.douban.com/subject/1291822/,特瑞·乔治 Terry George   ,唐·钱德尔 Don Cheadle / 苏菲·奥...,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,356297人评价,当这个世界闭上双眼，他却敞开了怀抱。
末路狂花,Thelma & Louise,https://movie.douban.com/subject/1291992/,雷德利·斯科特 Ridley Scott   ,吉娜·戴维斯 Geena Davis / 苏...,1991,美国 英国 法国,犯罪 剧情 惊悚,9,315311人评价,暂无
无敌破坏王,Wreck-It Ralph,https://movie.douban.com/subject/6534248/,瑞奇·莫尔 Rich Moore   ,约翰·C·赖利 John C. Reilly / 萨拉...,2012,美国,喜剧 动画 奇幻 冒险,8.7,591259人评价,迪士尼和皮克斯拿错剧本的产物。
小偷家族,万引き家族,https://movie.douban.com/subject/27622447/,是枝裕和 Hirokazu Koreeda   ,中川雅也 Lily Franky / 安藤樱 Sa...,2018,日本,剧情 犯罪 家庭,8.7,873529人评价,我们组成了家。
冰川时代,Ice Age,https://movie.douban.com/subject/1291578/,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,未知,2002,美国,喜剧 动画 冒险,8.6,665283人评价,暂无
高山下的花环,卫国军魂(港)  /  Wreaths at the Foot of the Mountain,https://movie.douban.com/subject/1422283/,谢晋 Jin Xie   ,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984(中国大陆),1985,中国大陆,9.5,137182人评价,暂无
牯岭街少年杀人事件,牯嶺街少年殺人事件,https://movie.douban.com/subject/1292329/,杨德昌 Edward Yang   ,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991,中国台湾,剧情 犯罪,8.9,346055人评价,暂无
恐怖游轮,Triangle,https://movie.douban.com/subject/3011051/,克里斯托弗·史密斯 Christopher Smith   ,梅利莎·乔治 Melissa ...,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,951325人评价,不要企图在重复中寻找已经失去的爱。
东京教父,東京ゴッドファーザーズ,https://movie.douban.com/subject/1310177/,今敏 Satoshi Kon   ,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,日本,剧情 喜剧 动画,9,272703人评价,暂无
岁月神偷,歲月神偷,https://movie.douban.com/subject/3792799/,罗启锐 Alex Law   ,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010,中国香港 中国大陆,剧情 家庭,8.7,602004人评价,岁月流逝，来日可追。
忠犬八公物语,ハチ公物語,https://movie.douban.com/subject/1959195/,神山征二郎 Seijirô Kôyama   ,仲代达矢 Tatsuya Nakadai /...,1987,日本,剧情,9.2,211750人评价,暂无
魔女宅急便,魔女の宅急便,https://movie.douban.com/subject/1307811/,宫崎骏 Hayao Miyazaki   ,高山南 Minami Takayama / 佐久间玲 Re...,1989,日本,动画 奇幻 冒险,8.7,504355人评价,暂无
