电影中文名,电影英文名,详情页链接,导演,主演,上映年份,地区,类型,评分,评分人数,简介
大红灯笼高高挂,Raise The Red Lantern  /  Épouses et concubines,https://movie.douban.com/subject/1293323/,张艺谋 Yimou Zhang   ,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991,中国大陆 中国香港 中国台湾,剧情,8.8,341709人评价,暂无
彗星来的那一夜,Coherence,https://movie.douban.com/subject/25807345/,詹姆斯·沃德·布柯特 James Ward Byrkit   ,艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚,8.6,652145人评价,小成本大魅力。
哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,https://movie.douban.com/subject/1457217/,大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,英国 美国,奇幻 冒险,8.5,662224人评价,暂无
海边的曼彻斯特,Manchester by the Sea,https://movie.douban.com/subject/25980443/,肯尼斯·罗纳根 Kenneth Lonergan   ,卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭,8.6,620329人评价,我们都有权利不与自己的过去和解。
火星救援,The Martian,https://movie.douban.com/subject/25864085/,雷德利·斯科特 Ridley Scott   ,马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,801621人评价,暂无
黑客帝国2：重装上阵,The Matrix Reloaded,https://movie.douban.com/subject/1304141/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,未知,2003,美国,动作 科幻,8.7,439753人评价,暂无
萤火虫之墓,火垂るの墓,https://movie.douban.com/subject/1293318/,高畑勋 Isao Takahata   ,辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争,8.7,428716人评价,暂无
奇迹男孩,Wonder,https://movie.douban.com/subject/26787574/,斯蒂芬·卓博斯基 Stephen Chbosky   ,雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭,8.6,585945人评价,世界不完美，爱会有奇迹。
机器人之梦,Robot Dreams,https://movie.douban.com/subject/35426925/,巴勃罗·贝格尔 Pablo Berger   ,伊万·拉班达 Ivan Labanda / 阿...,2023,西班牙 法国,剧情 动画 音乐,9.1,339710人评价,暂无
战争之王,Lord of War,https://movie.douban.com/subject/1419936/,安德鲁·尼科尔 Andrew Niccol   ,尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 德国,剧情 犯罪,8.7,401454人评价,做一颗让别人需要你的棋子。
千年女优,千年女優,https://movie.douban.com/subject/1307394/,今敏 Satoshi Kon   ,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情,8.8,303667人评价,暂无
步履不停,歩いても 歩いても,https://movie.douban.com/subject/2222996/,是枝裕和 Hirokazu Koreeda   ,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭,8.8,309580人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
血钻,Blood Diamond,https://movie.douban.com/subject/1428175/,爱德华·兹威克 Edward Zwick   ,莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,409800人评价,每个美丽事物背后都是滴血的现实。
谍影重重2,The Bourne Supremacy,https://movie.douban.com/subject/1308767/,保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚,8.7,383933人评价,谁说王家卫镜头很晃？
蜘蛛侠：平行宇宙,Spider-Man: Into the Spider-Verse,https://movie.douban.com/subject/26374197/,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,未知,2018,美国,动作 科幻 动画 冒险,8.6,731114人评价,暂无
魂断蓝桥,Waterloo Bridge,https://movie.douban.com/subject/1293964/,茂文·勒鲁瓦 Mervyn LeRoy   ,费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争,8.8,300804人评价,暂无
房间,Room,https://movie.douban.com/subject/25724855/,伦尼·阿伯拉罕森 Lenny Abrahamson   ,布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,391152人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
冰雪奇缘,Frozen,https://movie.douban.com/subject/4202982/,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee   ,克里斯汀...,2013,美国,喜剧 动画 奇幻 歌舞,8.5,776283人评价,暂无
隐藏人物,Hidden Figures,https://movie.douban.com/subject/26615208/,特奥多尔·梅尔菲 Theodore Melfi   ,塔拉吉·P·汉森 Taraji P. ...,2016,美国,剧情 传记 历史,8.9,254612人评价,暂无
谍影重重,The Bourne Identity,https://movie.douban.com/subject/1304102/,道格·里曼 Doug Liman   ,马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,467847人评价,暂无
弱点,The Blind Side,https://movie.douban.com/subject/3552028/,约翰·李·汉考克 John Lee Hancock   ,桑德拉·布洛克 Sandra Bu...,2009,美国,剧情 家庭 传记 运动,8.7,344334人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
