电影名称,导演,主演,上映时间,评分,剧情,国别
罗马假日,威廉·惠勒 William Wyler   ,奥黛丽·赫本 Audrey Hepburn / 格...,1953 ,9.1,,美国
指环王1：护戒使者,彼得·杰克逊 Peter Jackson   ,伊利亚·伍德 Elijah Wood / 西恩...,2001 ,9.1,,新西兰 美国
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,1974 ,9.3,,美国
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff   ,乔纳森·泰勒·托马...,1994 ,9.1,,美国
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore   ,菲利普·努瓦雷 Philipp...,1988 ,9.2,,意大利 法国
饮食男女,李安 Ang Lee   ,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994 ,9.2,,中国台湾 美国
辩护人,杨宇硕 Woo-seok Yang   ,宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,2013 ,9.2,电影的现实意义大过电影本身。,韩国
搏击俱乐部,大卫·芬奇 David Fincher   ,爱德华·诺顿 Edward Norton / 布拉...,1999 ,9.0,,美国
本杰明·巴顿奇事,大卫·芬奇 David Fincher   ,凯特·布兰切特 Cate Blanchett / ...,2008 ,9.0,在时间之河里感受溺水之苦。,美国
美丽心灵,朗·霍华德 Ron Howard   ,罗素·克劳 Russell Crowe / 艾德·哈...,2001 ,9.1,,美国
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman   ,阿萨·巴特菲尔德 Asa Butterfield ...,2008 ,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,英国 美国
情书,岩井俊二 Shunji Iwai   ,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995 ,8.9,,日本
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006 ,9.2,别样人生。,德国
两杆大烟枪,盖·里奇 Guy Ritchie   ,杰森·弗莱明 Jason Flemyng / 德克斯特...,1998 ,9.1,,英国
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2011 ,9.0,10年的完美句点。,美国 英国
音乐之声,罗伯特·怀斯 Robert Wise   ,朱莉·安德鲁斯 Julie Andrews / 克...,1965 ,9.1,,美国
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore   ,莫妮卡·贝鲁奇 Monica ...,2000 ,8.9,,意大利 美国
阿凡达,詹姆斯·卡梅隆 James Cameron   ,萨姆·沃辛顿 Sam Worthington ...,2009 ,8.8,绝对意义上的美轮美奂。,美国
功夫,周星驰 Stephen Chow   ,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004 ,8.9,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,中国大陆 中国香港
看不见的客人,奥里奥尔·保罗 Oriol Paulo   ,马里奥·卡萨斯 Mario Casas / 阿...,2016 ,8.8,你以为你以为的就是你以为的。,西班牙
哈利·波特与阿兹卡班的囚徒,阿方索·卡隆 Alfonso Cuarón   ,丹尼尔·雷德克里夫 Daniel Rad...,2004 ,9.0,不一样的导演，不一样的哈利·波特。,英国 美国
拯救大兵瑞恩,史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,1998 ,9.1,,美国
小鞋子,马基德·马基迪 Majid Majidi   ,默罕默德·阿米尔·纳吉 Mohamma...,1997 ,9.2,,伊朗
沉默的羔羊,乔纳森·戴米 Jonathan Demme   ,朱迪·福斯特 Jodie Foster / 安...,1991 ,8.9,,美国
飞越疯人院,米洛斯·福尔曼 Miloš Forman   ,杰克·尼科尔森 Jack Nichols...,1975 ,9.1,,美国
布达佩斯大饭店,韦斯·安德森 Wes Anderson   ,拉尔夫·费因斯 Ralph Fiennes / ...,2014 ,8.9,小清新的故事里注入了大历史的情怀。,美国 德国 英国
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,,2004 ,8.9,人的命运被自己瞬间的抉择改变。,美国 加拿大
禁闭岛,Martin Scorsese   ,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010 ,8.9,昔日翩翩少年，今日大腹便便。,美国
致命魔术,克里斯托弗·诺兰 Christopher Nolan   ,休·杰克曼 Hugh Jackman...,2006 ,8.9,孪生蝙蝠侠大战克隆金刚狼。,英国 美国
心灵捕手,格斯·范·桑特 Gus Van Sant   ,马特·达蒙 Matt Damon / 罗宾·...,1997 ,9.0,,美国
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino   ,约翰·特拉沃尔塔 John Tra...,1994 ,8.9,,美国
超脱,托尼·凯耶 Tony Kaye   ,艾德里安·布洛迪 Adrien Brody / 马西...,2011 ,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,美国
哈利·波特与密室,Chris Columbus   ,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002 ,8.9,,英国 美国
摩登时代,查理·卓别林 Charles Chaplin   ,查理·卓别林 Charles Chaplin ...,1936 ,9.3,,美国
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee   ,周星驰 Stephen Ch...,1999 ,8.8,,中国香港
致命ID,詹姆斯·曼高德 James Mangold   ,约翰·库萨克 John Cusack / 雷...,2003 ,8.9,,美国
杀人回忆,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003 ,8.9,,韩国
春光乍泄,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997 ,9.0,,中国香港 日本 韩国
海豚湾,路易·西霍尤斯 Louie Psihoyos   ,路易·西霍尤斯 Louie Psihoyo...,2009 ,9.3,海豚的微笑，是世界上最高明的伪装。,美国
一一,杨德昌 Edward Yang   ,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000 ,9.1,,中国台湾 日本
美国往事,赛尔乔·莱翁内 Sergio Leone   ,罗伯特·德尼罗 Robert De Niro ...,1984 ,9.1,,美国 意大利
加勒比海盗,戈尔·维宾斯基 Gore Verbinski   ,约翰尼·德普 Johnny Depp / ...,2003 ,8.8,,美国
红辣椒,今敏 Satoshi Kon   ,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006 ,9.0,梦的勾结。,日本
七宗罪,大卫·芬奇 David Fincher   ,摩根·弗里曼 Morgan Freeman / 布...,1995 ,8.8,,美国
唐伯虎点秋香,李力持 Lik-Chi Lee   ,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993 ,8.7,,中国香港
狩猎,托马斯·温特伯格 Thomas Vinterberg   ,麦斯·米科尔森 Mads Mik...,2012 ,9.1,人言可畏。,丹麦 瑞典
甜蜜蜜,陈可辛 Peter Chan   ,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996 ,8.9,,中国香港
7号房的礼物,李焕庆 Hwan-kyeong Lee   ,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013 ,8.9,《我是山姆》的《美丽人生》。,韩国
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan   ,克里斯蒂安·贝尔 Christ...,2012 ,8.9,诺兰就是保证。,美国 英国
寄生虫,奉俊昊 Joon-ho Bong   ,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019 ,8.8,,韩国
天书奇谭,王树忱 Shuchen Wang / 钱运达 Yunda Qian   ,丁建华 Jianhua Din...,1983(中国大陆) ,9.2,,2021
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   ,斯科特...,2014 ,8.8,Balalala~~~,美国
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima   ,中谷美纪 Miki Nakatani / 瑛太 E...,2006 ,8.8,以戏谑来戏谑戏谑。,日本
爱在黎明破晓前,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,1995 ,8.8,,美国 奥地利 瑞士
第六感,M·奈特·沙马兰 M. Night Shyamalan   ,布鲁斯·威利斯 Bruce Wi...,1999 ,8.9,,美国
重庆森林,王家卫 Kar Wai Wong   ,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994 ,8.8,,中国香港
爱在日落黄昏时,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2004 ,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,美国 法国
幽灵公主,宫崎骏 Hayao Miyazaki   ,松田洋治 Yôji Matsuda / 石田百合...,1997 ,8.9,,日本
还有明天,宝拉·柯特莱西 Paola Cortellesi   ,宝拉·柯特莱西 Paola Corte...,2023 ,9.4,,意大利
入殓师,泷田洋二郎 Yôjirô Takita   ,本木雅弘 Masahiro Motoki / ...,2008 ,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,日本
剪刀手爱德华,蒂姆·波顿 Tim Burton   ,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990 ,8.7,,美国
断背山,李安 Ang Lee   ,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005 ,8.8,每个人心中都有一座断背山。,美国 加拿大
菊次郎的夏天,北野武 Takeshi Kitano   ,北野武 Takeshi Kitano / 关口雄介 Yus...,1999 ,8.9,,日本
勇敢的心,梅尔·吉布森 Mel Gibson   ,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995 ,8.9,,美国
未麻的部屋,今敏 Satoshi Kon   ,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997 ,9.1,,日本
哈利·波特与火焰杯,迈克·内威尔 Mike Newell   ,丹尼尔·雷德克里夫 Daniel Radclif...,2005 ,8.8,,英国 美国
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi   ,志田未来 Mirai Shida / 神木...,2010 ,8.9,曾经的那段美好会沉淀为一辈子的记忆。,日本
茶馆,谢添 Tian Xie   ,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆) ,9.6,,中国大陆
消失的爱人,大卫·芬奇 David Fincher   ,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014 ,8.7,年度最佳date movie。,美国
时空恋旅人,理查德·柯蒂斯 Richard Curtis   ,多姆纳尔·格里森 Domhnall Gl...,2013 ,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,英国 美国
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,,2015 ,8.8,愿我们都不用长大，每一座城堡都能永远存在。,美国
无人知晓,是枝裕和 Hirokazu Koreeda   ,柳乐优弥 Yûya Yagira / 北浦爱...,2004 ,9.1,我的平常生活就是他人的幸福。,日本
倩女幽魂,程小东 Siu-Tung Ching   ,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987 ,8.8,,中国香港
阳光灿烂的日子,姜文 Wen Jiang   ,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994 ,8.8,,中国大陆 中国香港
完美的世界,克林特·伊斯特伍德 Clint Eastwood   ,凯文·科斯特纳 Kevin Cos...,1993 ,9.1,,美国
