职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
商业化CRM数据产品经理 CRM Data Product Manager,字节跳动,30k-60k,[北京·朝阳区],经验3-5年 , 本科,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,"“下午茶,健身瑜伽,股票期权,团队氛围好”"
数据产品经理 (MJ010542),SHEIN,20k-40k,[上海·北新泾],经验3-5年 , 本科,电商平台 ,高级产品经理电商平台,“电商独角兽”
数据产品经理（风险策略方向） (MJ001855),百融云创,18k-28k,[北京·朝阳区],经验1-3年 , 本科,"科技金融,人工智能服务 ",人工智能服务科技金融,“平台稳定，发展空间大，领导好”
数据产品经理 (MJ000926),百融云创,20k-35k,[北京·朝阳区],经验3-5年 , 本科,"科技金融,人工智能服务 ",人工智能服务科技金融TO B,“发展空间大，福利好”
数据产品经理 (MJ010542),SHEIN,20k-40k,[深圳·西丽],经验3-5年 , 本科,电商平台 ,高级产品经理电商平台,“电商独角兽”
数据产品经理,中汇（广东）产业科技有限公司,6k-9k,[广州·天河区],经验3-5年 , 大专,教育 ,鞋服中台/后台产品零售行业小程序/H5产品AI产品,"“绩效奖金,周末双休,专业培训”"
高级数据产品经理,启高科技,18k-23k,[厦门·松柏],经验5-10年 , 本科,电商平台 ,高级产品经理TO B电商平台,“长期稳定”
数据产品经理,北京京东世纪贸易有限公司,25k-50k,[北京·通州区],经验5-10年 , 本科,区块链 ,资深产品经理TO GTO BAI产品数据要素,“互联网核心业态”
数据产品经理,天河国云,12k-22k,[长沙·长沙县],经验5-10年 , 本科,数据服务,商业｜交易产品高级产品经理营销服务｜咨询TO B数据服务｜咨询,“产业区块链龙头企业”
数据产品经理,探迹科技,15k-25k,[广州·海珠区],经验不限 , 本科,在线教育 ,教育｜培训资深产品经理在线教育高级产品经理TO C,“【独角兽企业/SaaS全国top】”
数据产品经理,作业帮,23k-45k,[北京·西二旗],经验5-10年 , 本科,"新零售,电商平台 ",生活服务新零售,“发展前景好，团队实力强”
抖音游戏数据产品经理,字节跳动,20k-40k,[北京·海淀区],经验3-5年 , 本科,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,"“下午茶,健身瑜伽,六险一金,股票期权”"
数据产品经理-增长营销平台,字节跳动,30k-60k,[深圳·南山区],经验3-5年 , 本科,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,"“健身瑜伽,六险一金,股票期权,带薪休假”"
高级/资深数据产品经理 (MJ010535),SHEIN,25k-45k,[南京·安德门],经验3-5年 , 本科,电商平台 ,高级产品经理电商平台,“电商独角兽”
高级/资深数据产品经理 (MJ010535),SHEIN,25k-45k,[深圳·西丽],经验3-5年 , 本科,电商平台 ,高级产品经理电商平台,“电商独角兽”
高级产品经理（数据产品） (MJ001776),百融云创,20k-30k,[北京·朝阳区],经验5-10年 , 本科,"科技金融,人工智能服务 ",人工智能服务中台/后台产品科技金融TO B,“平台稳定，发展空间大，领导好”
数据产品经理,百秋尚美,25k-35k,[上海·长宁区],经验5-10年 , 本科,"电商平台,内容社区 ",内容社区电商平台,“发展前景佳、团队实力强、老板nice”
数据产品经理,成都卡社诺网络技术有限责任公司,15k-19k,[成都·光华],经验3-5年 , 本科,"游戏,移动互联网 ",中高级产品经理消费生活数据服务｜咨询,“福利待遇佳”
数据产品经理,异连科技,13k-20k,[重庆·五里店],经验3-5年 , 本科,"电商平台,软件服务",软件服务｜咨询搜索｜推荐产品中后台产品TO B电商平台,“自研 架构扁平 氛围活跃 年轻化 不卷 双休”
数据产品经理,润杨集团,20k-30k,[深圳·国贸],经验5-10年 , 本科,其他 ,数据治理数据中台物联网数据服务｜咨询,“业务稳健、平台大、前景好、发挥空间大”
数据产品经理,百度,20k-30k,[北京·西北旺],经验1-3年 , 本科,"人工智能服务,信息检索,科技金融 ",工具类产品,“团队氛围好”
大数据产品经理,金信网银,10k-20k,[北京·西三旗],经验3-5年 , 本科,"金融,数据服务 ",金融大数据软件行业,“五险一金、带薪年假、补充医疗保险、定期体检。”
大数据产品经理,湖北华旺达信息技术,12k-16k,[武汉·东西湖区],经验3-5年 , 大专,"移动互联网,金融 ",物流｜运输,“包两餐，双休 五险一金 带薪年假”
数据产品经理,极智嘉,20k-40k,[北京·顺义区],经验3-5年 , 本科,智能硬件 ,工具类产品专业服务｜咨询,“弹性工作，双休，成长空间大”
数据产品经理,DataTower.ai,20k-40k,[深圳·西丽],经验3-5年 , 本科,营销服务,营销服务｜咨询TO B数据服务｜咨询广告产品,“7天年假，业务上升期，弹性打卡，团队优秀”
数据产品经理,Shopee,20k-35k,[上海·七宝],经验1-3年 , 本科,电商平台 ,高级产品经理跨境贸易策略产品初级产品经理电商平台,“WLB”
高级数据产品经理-开发套件方向,字节跳动,15k-30k,[北京·海淀区],经验3-5年 , 本科,"内容资讯,短视频 ",弹性工作就近租房补贴年度体检补充商保,"“健身瑜伽,五险一金,股票期权,带薪休假”"
