职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
物联网技术员,诺盾,3k-6k,[昆明·五华区],经验1-3年 , 大专,房地产,新能源汽车制造汽车交易平台,"“定期体检,周末双休,餐饮补贴”"
物联网技术员,诺盾,5k-8k,[昆明·五华区],经验1-3年 , 大专,"汽车交易平台,新能源汽车制造 ",新能源汽车制造,"“绩效奖金,免费工作餐,专业培训”"
物联网技术员,广州市江达潜水疏浚工程有限公司,4k-7k,[广州·增城区],经验1-3年 , 大专,新能源汽车制造 ,暂无,“方案”
物联网工程师,上海柏巨电子科技有限公司,8k-12k,[杭州·滨江区],经验不限 , 大专,制造业 ,制造业,"“五险一金,绩效奖金,做五休二”"
物联网工程师,上海柏巨电子科技有限公司,8k-12k,[武汉·洪山区],经验不限 , 大专,制造业 ,制造业,"“五险一金,绩效奖金,做五休二”"
物联网实施工程师,剑愚机电,10k-15k,[杭州·拱墅区],经验不限 , 本科,房地产,房地产｜建筑｜物业,"“绩效奖金,做五休二,方案”"
物联网实施工程师,剑愚机电,10k-15k,[武汉·江夏区],经验不限 , 本科,房地产,房地产｜建筑｜物业,"“绩效奖金,做五休二,方案”"
物联网技术经理,诺盾,10k-15k,[昆明·五华区],经验5-10年 , 本科,其他 ,新零售,"“绩效奖金,方案,免费工作餐”"
物联网开发工程师,诺盾,8k-15k,[昆明·五华区],经验5-10年 , 本科,软件开发 ,消费生活,"“绩效奖金,免费工作餐,专业培训”"
技术支持工程师（物联网）,力合微电子,8k-13k,[深圳·南山区],经验1-3年 , 大专,新零售 ,房地产｜建筑｜物业,"“五险一金,绩效奖金,定期体检”"
物联网项目助理（双休）,四川盛麒达讯科技有限公司,6k-8k,[成都·武侯区],经验不限 , 大专,消费生活 ,暂无,“发展前景佳、团队实力强、老板nice”
物联网硬件方案经理,武汉邻盛智能设备有限公司,6k-10k,[武汉·汉阳区],经验3-5年 , 大专,房地产,暂无,"“五险一金,绩效奖金,员工旅游”"
金融区块链高级开发工程师,富途,20k-40k,[深圳·南山区],经验3-5年 , 本科,科技金融 ,Golang区块链开发经验SolidityMySQL,“牛人多、业务前景好、福利待遇佳、上市公司”
区块链需求分析师,中招互连科技公司,15k-25k,[北京·海淀区],经验3-5年 , 本科,"区块链,软件开发 ",软件服务｜咨询TO B,“公司国企背景，未来准备上市，团队氛围好”
区块链智能合约开发工程师,北京必来屋网络科技有限公司,30k-50k,[香港·湾仔区],经验3-5年 , 本科,金融业 ,机器学习算法/工程化经验计算机相关专业无明显侧重,“远程办公”
区块链测试工程师（远程）,创元聚星,20k-40k,[深圳·科技园],经验3-5年 , 本科,IT技术服务,JAVA性能测试科技金融功能测试测试开发,“远程工作”
区块链网络安全工程师（远程岗位）,MATRIX TECH PTE.LTD.,20k-40k,[北京·西三旗],经验3-5年 , 本科,科技金融 ,安全运维和保障科技金融,“团队稳定 业务稳定 薪酬福利完善”
区块链产品经理（远程）,北京必来屋网络科技有限公司,20k-40k,[深圳·科技园],经验3-5年 , 本科,金融业 ,资深产品经理高级产品经理TO C,“远程”
产品经理（区块链）,卢卡狮企业经营管理,10k-15k,[成都·紫荆],经验3-5年 , 本科,IT技术服务,科技金融功能测试web3Python,“周末双休、免费停车、五险一金”
区块链交易测试工程师（remote）,MATRIX TECH PTE.LTD.,20k-40k,[北京·回龙观],经验3-5年 , 本科,科技金融 ,团队管理经验科技金融GO互联网技术管理经验,“核心业务 团队稳定 远程办公”
区块链业务-研发Leader,富途,40k-80k,[深圳·南山区],经验10年以上 , 本科,科技金融 ,JAVA社交媒体信息安全,“腾讯系，福利好，培养全，学金融，导师制，牛人多”
区块链开发工程师,中国纬图,15k-30k,[成都·高新区],经验3-5年 , 大专,通讯电子 ,计算机相关专业,“六险一金、年终奖、带薪年假、节日福利”
区块链智能合约开发工程师,斯科赛斯德,25k-40k,[北京·常营],经验3-5年 , 本科,区块链 ,架构经验后端开发经验团队管理经验科技金融GO,“扁平化管理”
DEX 区块链工程师,云梦量化,20k-35k,[深圳·新洲],经验1-3年 , 本科,IT技术服务,金融业Python,“优秀的链上技术团队”
用户增长负责人（海外区块链游戏）,凌动,50k-100k,[上海·周家桥],经验10年以上 , 本科,IT技术服务,暂无,“提成与分红”
用户增长负责人（海外区块链游戏）,凌动,50k-100k,[深圳·福田区],经验5-10年 , 本科,IT技术服务,暂无,“提成与分红”
区块链智能合约开发工程师,四沃投资,15k-25k,[厦门·思明区],经验1-3年 , 本科,金融 ,暂无,“年终奖”
区块链产品经理,北京必来屋网络科技有限公司,30k-45k,[北京·海淀区],经验3-5年 , 本科,金融业 ,商业｜交易产品海外用户基础业务产品增长产品TO C,“远程居家办公”
区块链智能合约开发工程师,辰麒科技,13k-17k,[武汉·洪山区],经验3-5年 , 大专,IT技术服务,JAVA科技金融assemblypenzeppelin业务导向,“自研产品、蓝海增量业务、成熟产品、完整团队”
区块链网络推广,良一书园,5k-8k,[合肥·蜀山区],经验不限 , 本科,社交平台 ,软件服务｜咨询,“发展空间高”
区块链智能合约开发工程师,找你文化产业,6k-12k,[重庆·渝中区],经验3-5年 , 本科,"工具类产品,软件服务",全栈侧重后端全栈无侧重电商平台,“前景广阔 大咖带队”
区块链开发工程师,中慧云启,10k-15k,[成都·武侯区],经验不限 , 本科,"信息安全,信息检索 ",软件服务｜咨询教育｜培训以太坊GOPython,“入职五险一金、生日福利、公司体检、意外险”
区块链高级开发工程师（区块链操作系统方向）,树轮科技,30k-45k,[深圳·福田区],经验5-10年 , 本科,区块链 ,Linux操作系统Linux内核裁剪C语言分布式系统开发经验后端工程师,“年终奖金，定期体检，年底双薪，扁平管理”
运营专员（区块链）,成都数创物联科技有限公司,5k-10k,[成都·双流区],经验1-3年 , 本科,医疗丨健康 ,C++C语言,"“五险一金,定期体检,交通补贴”"
金融销售顾问（区块链方向）,23life,15k-30k,[北京·百子湾],经验1-3年 , 大专,IT技术服务,JAVA信息安全｜反作弊信息安全数据挖掘Python,“大佬带 提成高 项目有前景”
Java区块链开发工程师,恒晟佳,20k-40k,[深圳·西乡],经验1-3年 , 本科,"区块链,信息安全,数据服务",JAVA,“发展前景好”
区块链数据分析师,云御智控,10k-20k,[长沙·岳麓区],经验3-5年 , 本科,IT技术服务,科技金融计算机相关专业,“白帽子”
云计算/区块链研发工程师,凯晟通,15k-30k,[北京·北下关],暂无,暂无,区块链 ,ShellGOPrometheusGrafana运维经验,“优秀的团队，轻松的工作氛围”
区块链Java开发工程师,阿特拓客,20k-30k,[上海·黄浦区],经验3-5年 , 本科,"文化传媒,社交平台,软件服务",商业｜交易产品软件服务｜咨询海外用户TO C策略产品,“薪资待遇”
区块链开发工程师,旺航文化传播,20k-40k,[苏州·元和],经验3-5年 , 本科,其他 ,暂无,“发展空间大，福利好”
区块链运维工程师,比托邦,8k-10k,[成都·天府新区],经验1-3年 , 本科,IT技术服务,暂无,“区块链行业”
区块链bd【远程】,五指传媒,20k-40k,[北京·望京],经验3-5年 , 本科,社交平台 ,海外BD,“远程办公 双休8小时 区块链”
web3区块链内容运营,悦知未来,13k-18k,[北京·中关村],经验不限 , 本科,区块链 ,用户运营社群运营信息安全活动运营产品运营,“节假日放假、周末双休、期权、新加坡EP等”
区块链商务bd,夏乐科技,35k-50k,[上海·徐家汇],经验3-5年 , 本科,"人工智能服务,区块链 ",区块链行业资源有美签,“居家办公”
区块链工程师,后浪科技,15k-20k,[海口·龙华区],经验1-3年 , 本科,"区块链,人工智能 ",Golang软件服务｜咨询JavaC++PHP,“做真区块链和真做无币区块链的应用和产品。”
区块链开发工程师,壁虎科技,20k-40k,[广州·番禺区],经验3-5年 , 本科,"金融,企业服务 ",软件服务｜咨询,“发展前景好”
区块链游戏海外运营,西安西西弗斯网络科技有限公司,15k-25k,[西安·张家堡],经验3-5年 , 本科,IT技术服务,用户运营内容运营社群运营产品运营,“发展潜力大”
区块链社群运营,前沿科技,8k-16k,[深圳·龙华区],经验1-3年 , 不限,区块链 ,全栈无侧重,“下午茶”
区块链智能合约开发工程师,千氪财经,10k-20k,[成都·高新区],经验3-5年 , 本科,"移动互联网,数据服务 ",营销管理内容资讯海外市场,“初创团队，有发展前景”
区块链英文市场总监/经理,亦可科技,12k-24k,[北京·朝阳区],经验1-3年 , 本科,专业服务,Golang大数据开发经验GO计算机相关专业Python,“发展前景 灵活时间 远程办公”
高级后端开发工程师-区块链,SHANNON DATA LIMITED,25k-50k,[武汉·东湖新技术开发区],经验3-5年 , 本科,"网络通信,区块链 ",GolangShellNode.jsPython,“前沿技术，行业领先，待遇丰厚”
区块链开发工程师--智能合约方向,SHANNON DATA LIMITED,25k-50k,[武汉·东湖新技术开发区],经验3-5年 , 本科,"网络通信,区块链 ",带薪年假弹性工作五险一金岗位晋升,“产业前沿”
商务经理区块链,外播叁,12k-24k,[北京·望京],经验1-3年 , 本科,区块链 ,暂无,“五险一金”
区块链研究员 Blockchain Researcher,曲线之保,15k-30k,[深圳·南山区],经验1-3年 , 硕士,IT技术服务,暂无,“外企氛围”
区块链专员,白哲科技,7k-10k,[杭州·西兴],经验1-3年 , 大专,"工具类产品,软件服务",暂无,“周末双休、五险一金”
区块链客服,白哲科技,7k-10k,[杭州·西兴],经验1-3年 , 大专,"工具类产品,软件服务",暂无,“周末双休、五险一金”
java开发工程师,深圳全球立达供应链管理有限公司,8k-12k,[深圳·龙岗区],经验3-5年 , 大专,贸易,贸易｜进出口,"“五险一金,绩效奖金,方案”"
JAVA,京北方,10k-12k,[北京·西二旗],经验1-3年 , 本科,IT技术服务,软件服务｜咨询科技金融后端工程师Spring计算机/软件工程相关专业,“银行项目，长期稳定”
java开发工程师,汇合,13k-20k,[深圳·南山区],经验3-5年 , 本科,科技金融 ,软件服务｜咨询金融业后端工程师计算机/软件工程相关专业,“六险一金 年终奖 加班费 过节费”
高级java开发工程师,建信金科,30k-60k,[深圳·上沙],经验5-10年 , 本科,科技金融 ,科技金融Spring,“最高比例五险一金、国企、薪酬有竞争力”
java开发工程师,百乐元,15k-30k,[大连·甘井子区],经验5-10年 , 本科,软件服务,软件服务｜咨询IT技术服务｜咨询,“高精尖人才”
java开发工程师,京北方,12k-15k,[深圳·南山区],经验3-5年 , 本科,IT技术服务,IT技术服务｜咨询,“双休 五险一金 餐补 绩效奖”
java开发工程师,广州南天,10k-13k,[佛山·桂城],经验3-5年 , 本科,IT技术服务,全栈工程师科技金融,“五险一金 周末双休 节日礼品 年度体检”
java开发工程师,深圳企域数字科技有限...,15k-25k,[深圳·南山区],经验5-10年 , 本科,营销服务,软件服务｜咨询JavaScript后端工程师SpringWeb后端开发,“五险一金、午餐补贴、团队扁平、弹性上班”
Java开发工程师(A99836),雪球科技,16k-30k,[上海·临沂路],经验3-5年 , 本科,软件服务,软件服务｜咨询springcloud信息安全Redis后端工程师,“五险一金，补充商业险，绩效年终奖，年度体检”
java开发工程师,容联云通讯,15k-25k,[佛山·桂城],经验3-5年 , 本科,IT技术服务,人工智能服务,“五险一金，调休”
java,沃丰科技（Udesk）AI智能客户服务平台,13k-26k,[武汉·紫阳],经验5-10年 , 本科,人工智能服务 ,C++人工智能服务数据服务｜咨询,“扁平化管理，五险一金”
JAVA开发工程师,屈臣氏科技创新中心,15k-24k,[深圳·翠竹],经验5-10年 , 本科,"电商平台,IT技术服务",软件服务｜咨询分布式系统开发经验MySQL新零售Spring,“良好的福利，充足的假期，轻松的办公环境”
Java开发工程师,51WORLD,25k-40k,[上海·徐汇区],经验3-5年 , 本科,软件服务,软件服务｜咨询人工智能服务,“行业前景好，团队技术氛围好，发展空间大”
java开发工程师,沃丰科技（Udesk）AI智能客户服务平台,11k-22k,[武汉·武昌区],经验3-5年 , 本科,人工智能服务 ,软件服务｜咨询人工智能服务分布式系统开发经验MySQL机器学习算法/工程化经验,“扁平化管理”
java开发工程师,汇合,10k-15k,[杭州·江南],经验3-5年 , 本科,科技金融 ,金融,“技术大牛团队 项目稳定”
java开发工程师,京北方,12k-15k,[深圳·南山区],经验3-5年 , 本科,IT技术服务,IT技术服务｜咨询,“双休 五险一金 餐补 绩效奖”
java开发工程师,京北方,12k-20k,[深圳·华强北],经验3-5年 , 本科,IT技术服务,Web前端开发金融业SpringORACLE,“环境好，领导nice”
java开发工程师,中电金信,18k-20k,[广州·东圃],经验5-10年 , 本科,IT技术服务,科技金融后端工程师,“大平台、大型系统”
高级java开发工程师,百融云创,25k-40k,[北京·望京],经验3-5年 , 本科,"科技金融,人工智能服务 ",账务系统科技金融后端工程师,“发展前景好”
JAVA工程师,速强信息,8k-9k,[上海·花木],经验1-3年 , 大专,移动互联网 ,JavaScript金融业ORACLE,“工作环境轻松”
java开发工程师,容联云通讯,15k-25k,[佛山·桂城],经验3-5年 , 本科,IT技术服务,人工智能服务,“五险一金，调休”
java开发工程师,汇合,14k-28k,[深圳·西丽],经验3-5年 , 本科,科技金融 ,科技金融IT技术服务｜咨询后端工程师Web后端开发计算机/软件工程相关专业,“工作日/周末/节假日如加班均有加班费。”
java开发工程师,中电金信,16k-25k,[深圳·西丽],经验3-5年 , 本科,IT技术服务,全栈工程师springcloud大数据处理经验金融业IT技术服务｜咨询,“六险一金+项目稳定+周末双休+加班费高”
java开发工程师,数字马力,12k-20k,[长沙·岳麓区],经验1-3年 , 本科,"工具类产品,软件服务",电商平台,“五险一金，周末双休，大平台”
高级Java开发工程师,搜狐集团,25k-35k,[北京·海淀区],经验3-5年 , 不限,"内容资讯,游戏,音频",移动互联网后端平台,"“工作氛围好,精英团队,核心业务”"
java开发工程师,威而信实业,10k-16k,[成都·武侯区],经验3-5年 , 本科,网络通信 ,中间件MyBatis应急指挥分布式ORACLE,“晋升空间 出差 氛围好 弹性上班 不打卡”
Java开发工程师,威而信实业,15k-20k,[成都·高新区],经验5-10年 , 本科,网络通信 ,软件服务｜咨询MyBatisORACLE网络通信,“待遇好”
java开发工程师,广州南天,9k-12k,[广州·棠景],经验3-5年 , 大专,IT技术服务,软件服务｜咨询中大型项目架构经验SQL Server后端工程师Spring,“双休，午休2小时，工作环境舒适，工作氛围好”
高级java开发工程师,中招互连科技公司,20k-33k,[北京·三里河],经验5-10年 , 本科,"区块链,软件开发 ",软件服务｜咨询区块链,“公司国企背景，未来准备上市，大牛带队”
高级java开发工程师,领星,30k-50k,[深圳·西丽],经验3-5年 , 本科,软件服务,软件服务｜咨询电商平台,“弹性打卡、五天七小时、期权、扁平化”
JAVA,京北方,10k-12k,[北京·西二旗],经验1-3年 , 本科,IT技术服务,软件服务｜咨询科技金融后端工程师Spring计算机/软件工程相关专业,“银行项目，长期稳定”
java开发工程师,京北方,12k-15k,[深圳·南山区],经验3-5年 , 本科,IT技术服务,IT技术服务｜咨询,“双休 五险一金 餐补 绩效奖”
高级java开发工程师,中电金信,16k-17k,[北京·朝阳区],经验3-5年 , 本科,IT技术服务,jvm分布式系统开发经验中大型项目架构经验旅游｜出行后端工程师,“周末双休”
java开发工程师,龙腾出行,11k-18k,[广州·越秀区],经验1-3年 , 本科,"生活服务,旅游",生活服务JavaScriptMySQL旅游｜出行Spring,“大牛团队，发展潜力大，提供成长通道&amp;空间”
高级java开发工程师,金蝶,25k-35k,[深圳·科技园],经验5-10年 , 本科,软件服务,软件服务｜咨询,“SaaS”
java开发工程师,汇合,9k-13k,[深圳·平湖],经验1-3年 , 本科,科技金融 ,软件服务｜咨询人工智能服务SpringORACLE,“六险一金 过节费 餐补 交通补 住房补”
java开发工程师,融汇,18k-30k,[深圳·福田区],经验3-5年 , 本科,IT技术服务,软件服务｜咨询Hibernate人工智能服务MySQLMyBatis,“六险一金、绩效奖金、年底奖金、周末双休”
java开发工程师,金证睿服,11k-20k,[上海·张江],经验1-3年 , 本科,软件服务,网络通信,“带薪休假”
java开发工程师,融捷教育,8k-15k,[北京·中关村],经验1-3年 , 本科,人工智能服务 ,教育｜培训HibernateMySQL后端工程师,“周末双休 五险一金”
java开发工程师,中招互连科技公司,13k-24k,[北京·海淀区],经验3-5年 , 本科,"区块链,软件开发 ",软件服务｜咨询区块链,“公司国企背景，未来准备上市，大牛带队”
高级java开发工程师,众阳软件,10k-12k,[济南·历下区],经验3-5年 , 本科,医疗丨健康 ,springcloud医疗｜保健｜美容分布式系统开发经验MyBatis后端工程师,“人才晋升培养、节假日福利、生日福利”
java开发工程师,北京指南针,15k-30k,[北京·北七家],经验1-3年 , 本科,科技金融 ,科技金融Web后端开发,“发展空间大，国内外旅游，带薪年假，发展前景好”
java开发工程师,零与壹软件,8k-15k,[深圳·大冲],经验不限 , 本科,工具类产品 ,软件服务｜咨询后端工程师,“周末双休、年终奖”
java开发工程师,北京泰斯听科技有限公...,15k-20k,[拉萨·城关区],经验不限 , 本科,"电商平台,汽车交易平台 ",电商平台,“提升空间大”
java开发工程师,中电金信,16k-21k,[成都·武侯区],经验5-10年 , 本科,IT技术服务,软件服务｜咨询springcloudElasticSearch大数据处理经验IT技术服务｜咨询,“稳定”
腾讯音乐公关传播经理（IP 策划与商业运营）,腾讯音乐娱乐集团,25k-50k,[北京·朝阳门],经验10年以上 , 不限,"工具类产品,内容社区,音频",股票期权绩效奖金带薪年假定期体检,“大平台”
游戏系统策划,CMGE中手游,20k-30k,[北京·酒仙桥],经验5-10年 , 大专,游戏 ,节日礼物技能培训绩效奖金岗位晋升,“发展前景”
游戏数值策划,CMGE中手游,20k-30k,[北京·酒仙桥],经验5-10年 , 不限,游戏 ,系统策划,“发展前景”
产品策划 (MJ000811),边锋,18k-35k,[杭州·西湖区],经验5-10年 , 本科,游戏 ,游戏系统策划,“公司福利完成，发展空间大。”
营销策划经理（深圳）(MJ000533),新浪网,10k-15k,[深圳·新洲],经验1-3年 , 本科,"内容资讯,社交媒体 ",消费生活科技金融TO B,“六险一金，带薪年假”
游戏策划,博乐科技,12k-20k,[北京·来广营],经验不限 , 本科,游戏 ,节日礼物年底双薪绩效奖金岗位晋升,“六险一金，餐补，房补，项目奖金”
高级数值策划 J10492,卓越工坊（北京）科技有限公司,18k-30k,[苏州·湖东],经验5-10年 , 大专,游戏 ,游戏,“五险一金 年终奖金 带薪年假 体检 发展空间”
抖音社交游戏策划,字节跳动,30k-60k,[深圳·南山区],经验3-5年 , 本科,"内容资讯,短视频 ",移动互联网,"“下午茶,健身瑜伽,六险一金,股票期权”"
微博营销策划(个案策划),微博,15k-25k,[北京·西北旺],经验3-5年 , 本科,社交媒体 ,社交媒体,“晋升机制”
新媒体、社交媒体账号运营/后期/文案策划,Seed,10k-15k,[深圳·坂田],经验1-3年 , 本科,人工智能服务 ,内容运营人工智能服务微信运营智能硬件IP运营,“福利待遇好”
营销策划高级专员（华南）,搜狐集团,12k-18k,[广州·珠江新城],经验3-5年 , 本科,"内容资讯,游戏,音频",文案策划社交媒体TO B,“五险一金”
主题策划,Jackpot 杰克帕特,8k-16k,[北京·立水桥],经验不限 , 不限,游戏 ,数值策划三消游戏,“发展空间大 弹性工作 工作氛围好 大牛多”
高级游戏关卡策划（休闲三消）,竞技世界,25k-35k,[北京·回龙观],经验5-10年 , 本科,游戏 ,股票期权绩效奖金带薪年假定期体检,“上升空间大 团队氛围好”
QQ音乐长音频产品策划（商业化方向）,腾讯音乐娱乐集团,25k-50k,[深圳·南山区],经验10年以上 , 本科,"工具类产品,内容社区,音频",社交媒体文化传媒,“大平台”
营销策划 (MJ002699),凤凰网,12k-24k,[北京·望京],经验3-5年 , 本科,"内容资讯,内容社区 ",暂无,“团队实力高，福利待遇好”
线下活动策划经理,微博,15k-25k,[北京·上地],经验3-5年 , 本科,社交媒体 ,社交媒体TO C,“晋升机制”
商业广告产品策划,腾讯音乐娱乐集团,25k-50k,[深圳·南山区],经验5-10年 , 不限,"工具类产品,内容社区,音频",股票期权绩效奖金带薪年假定期体检,“大平台”
视频策划 (MJ006098),新浪网,10k-15k,[北京·北京大学],经验1-3年 , 本科,"内容资讯,社交媒体 ",科技金融,“六险一金，带薪年假，往返班车”
营销策划经理（深圳）(MJ000533),新浪网,10k-15k,[深圳·新洲],经验1-3年 , 本科,"内容资讯,社交媒体 ",消费生活科技金融TO B,“六险一金，带薪年假”
高级产品策划,边锋,25k-50k,[北京·海淀区],经验3-5年 , 本科,游戏 ,增长产品游戏捕鱼,“团队发展好”
游戏资源策划,Zenjoy,12k-17k,[北京·朝阳门],经验1-3年 , 本科,游戏 ,休闲游戏策划游戏策划,“六险一金，出国旅行，年底双薪”
抖音社交游戏策划,字节跳动,30k-60k,[深圳·南山区],经验3-5年 , 本科,"内容资讯,短视频 ",移动互联网,"“下午茶,健身瑜伽,六险一金,股票期权”"
酷狗音乐市场策划经理（内容运营）,酷狗音乐,25k-50k,[广州·东圃],经验5-10年 , 本科,音频,技能培训节日礼物年底双薪带薪年假,“大平台”
营销策划高级专员（华南）,搜狐集团,12k-18k,[广州·珠江新城],经验3-5年 , 本科,"内容资讯,游戏,音频",文案策划社交媒体TO B,“五险一金”
游戏策划（海外休闲方向）,iHandy,18k-35k,[北京·五道口],经验3-5年 , 本科,游戏 ,关卡策划系统策划,“周末双休 六险一金 三个月奖金”
QQ音乐长音频产品策划（商业化方向）,腾讯音乐娱乐集团,25k-50k,[深圳·南山区],经验10年以上 , 本科,"工具类产品,内容社区,音频",股票期权绩效奖金带薪年假定期体检,“大平台”
游戏系统策划,乐元素游戏,18k-30k,[北京·海淀区],经验3-5年 , 本科,游戏 ,技能培训领导好节日礼物,“准上线项目 奖金丰厚”
资深系统策划,Zenjoy,20k-35k,[北京·朝阳门],经验5-10年 , 本科,游戏 ,游戏游戏策划,“六险一金，出国旅行，一日三餐，年底双薪”
关卡策划 J10493,卓越工坊（北京）科技有限公司,20k-40k,[苏州·虎丘区],经验5-10年 , 大专,游戏 ,游戏,“五险一金 年终奖金 带薪年假 体检 发展空间”
海外游戏制作人/主策划（北京）,塔思科技,25k-50k,[北京·望京],经验5-10年 , 本科,"游戏,软件服务",数值策划关卡策划剧情策划系统策划,“年度体检/团建 公司旅游 年底双薪”
腾讯音乐公关传播经理（IP 策划与商业运营）,腾讯音乐娱乐集团,25k-50k,[北京·朝阳门],经验10年以上 , 不限,"工具类产品,内容社区,音频",股票期权绩效奖金带薪年假定期体检,“大平台”
游戏系统策划,CMGE中手游,20k-30k,[北京·酒仙桥],经验5-10年 , 大专,游戏 ,节日礼物技能培训绩效奖金岗位晋升,“发展前景”
游戏数值策划,CMGE中手游,20k-30k,[北京·酒仙桥],经验5-10年 , 不限,游戏 ,系统策划,“发展前景”
游戏系统策划,边锋,20k-40k,[杭州·翠苑],经验3-5年 , 本科,游戏 ,交通补助绩效奖金节日礼物定期体检,“全额五险一金；周末双休”
游戏数值策划,Zenjoy,15k-20k,[北京·朝阳门],经验3-5年 , 本科,游戏 ,游戏策划,“六险一金，出国旅行，一日三餐，年底双薪”
关卡策划（消除类游戏方向）,Zenjoy,10k-20k,[北京·朝阳门],经验1-3年 , 本科,游戏 ,游戏策划,“六险一金，出国旅行，一日三餐，年底双薪”
游戏数值策划,小野人,13k-18k,[深圳·西丽],经验3-5年 , 大专,游戏 ,rpgMMO,“告别加班！ 告别内卷！ 告别996！”
高级数值策划 J10492,卓越工坊（北京）科技有限公司,18k-30k,[苏州·湖东],经验5-10年 , 大专,游戏 ,游戏,“五险一金 年终奖金 带薪年假 体检 发展空间”
短视频运营策划 (MJ008881),搜狐集团,8k-16k,[北京·海淀区],经验不限 , 本科,"内容资讯,游戏,音频",音频｜视频媒体新媒体新媒体运营,“五险一金，团队优秀，节日礼物，带薪休假”
游戏策划,Castbox,12k-20k,[北京·望京],经验1-3年 , 本科,音频,数值策划数据分析关卡策划海外休闲游戏逻辑能力,“扁平管理 出海游戏 不卷”
营销策划（华东） (MJ005790),微博,15k-22k,[上海·城隍庙],经验5-10年 , 本科,社交媒体 ,内容运营中国市场社交媒体TO B,“大平台”
主题策划,Jackpot 杰克帕特,8k-16k,[北京·立水桥],经验不限 , 不限,游戏 ,系统策划,“发展空间大 弹性工作 工作氛围好 大牛多”
活动策划,Jackpot 杰克帕特,8k-15k,[北京·立水桥],经验不限 , 本科,游戏 ,教育｜培训社交媒体,“发展空间大 弹性工作 工作氛围好 大牛多”
活动组织策划实施,三优贝贝,6k-8k,[北京·朝阳区],经验1-3年 , 大专,"教育,消费生活 ",游戏,“五险一金 工作环境好 股权激励”
资深战斗策划 J10510,卓越工坊（北京）科技有限公司,25k-40k,[苏州·湖东],经验10年以上 , 大专,游戏 ,暂无,“知名IP，开放世界SOC RPG手游，UE5引擎”
大数据开发工程师,京北方,13k-18k,[广州·东圃],经验3-5年 , 本科,IT技术服务,JAVA金融业,“项目长期稳定”
数据开发工程师,华泰保险,15k-25k,[北京·金融街],经验3-5年 , 本科,科技金融 ,科技金融,“行业前景好，工作氛围和谐”
大数据开发工程师,数字马力,12k-18k,[郑州·管城回族区],经验3-5年 , 本科,"工具类产品,软件服务",软件服务｜咨询数仓建设经验C++IT技术服务｜咨询计算机相关专业,“周末双休、入职配备mac pro，人体工学座椅”
大数据开发工程师,中电金信,15k-22k,[北京·西北旺],经验5-10年 , 本科,IT技术服务,JAVAflinkhive银行金融,“六险一金 核心系统项目”
大数据开发工程师,广州南天,12k-20k,[广州·天河北],经验3-5年 , 本科,IT技术服务,软件服务｜咨询金融业,“上市国企，工作稳定，福利齐全”
大数据开发工程师,AfterShip,20k-35k,[深圳·南山区],经验3-5年 , 本科,软件服务,JAVA软件服务｜咨询大数据开发经验Scala计算机相关专业,“行业赛道 海外电商 团队氛围”
大数据开发工程师,信也科技,20k-35k,[上海·张江],经验3-5年 , 本科,"科技金融,人工智能服务 ",JAVA科技金融Python,“发展空间大”
大数据开发工程师,关爱通,20k-30k,[上海·徐汇区],经验3-5年 , 本科,软件服务,数仓建设经验大数据开发经验ETL开发经验IT技术服务｜咨询电商平台,“央企平台 午餐补贴 绩效奖金 培训学习”
大数据开发工程师,河南端琪实业发展有限公司,6k-8k,[郑州·管城回族区],经验不限 , 不限,新零售 ,新零售,"“全勤奖,朝九晚六,月奖”"
高级/资深大数据开发工程师（运营中心）,SHEIN,30k-45k,[深圳·西丽],经验3-5年 , 本科,电商平台 ,JAVAShell计算机相关专业电商平台数据服务｜咨询,“知名独角兽 薪资具有竞争力 行业领先”
ai大数据开发主任,中国一汽,40k-60k,[南京·双龙大道],经验10年以上 , 本科,制造业 ,人工智能服务大数据开发经验,“发展前景好，晋升空间大”
大数据后台开发工程师,大宇无限,25k-50k,[深圳·南山区],经验3-5年 , 本科,"内容资讯,内容社区,社交媒体 ",JAVA人工智能服务音频｜视频媒体GOPython,“全球视野，多元文化，12% 公积金，免费三餐”
大数据平台运维开发,信也科技,19k-28k,[上海·张江],经验3-5年 , 本科,"科技金融,人工智能服务 ",JAVA数仓建设经验大数据开发经验Scala科技金融,“六险一金，周末双休，团队氛围好”
资深高级大数据开发工程师（上海） (MJ009673),SHEIN,45k-65k,[上海·城隍庙],经验5-10年 , 本科,电商平台 ,JAVA数仓建设经验大数据开发经验电商平台,“电商独角兽”
大数据开发岗,京北方,18k-25k,[上海·虹口区],经验10年以上 , 本科,IT技术服务,大数据开发经验IT技术服务｜咨询,“项目稳定”
资深大数据开发工程师（深圳） (MJ008841),SHEIN,30k-45k,[深圳·西丽],经验5-10年 , 本科,电商平台 ,电商平台,“电商独角兽”
大数据平台开发工程师-智能工厂,浙江省北大信研院,18k-30k,[杭州·宁围],经验1-3年 , 硕士,人工智能服务 ,JAVA云原生人工智能服务KafkaFlume,“弹性工作 周末双休 有薪病假”
大数据开发组长,京北方,18k-23k,[上海·江湾],经验5-10年 , 本科,IT技术服务,ShellHive大数据开发经验金融业Python,“长期稳定”
